"Medicare Part D Prescriber PUF Drug List Summary, Calendar Years 2013 - 2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
HYDROCODONE-IBUPROFEN,HYDROCODONE/IBUPROFEN,Y,N,N,N,N
HYDROMORPHONE ER,HYDROMORPHONE HCL,Y,Y,N,N,N
HYDROMORPHONE HCL,HYDROMORPHONE HCL,Y,N,N,N,N
HYSINGLA ER,HYDROCODONE BITARTRATE,Y,Y,N,N,N
IBUDONE,HYDROCODONE/IBUPROFEN,Y,N,N,N,N
IMIPENEM-CILASTATIN SODIUM,IMIPENEM/CILASTATIN SODIUM,N,N,Y,N,N
INVANZ,ERTAPENEM SODIUM,N,N,Y,N,N
INVEGA,PALIPERIDONE,N,N,N,Y,N
INVEGA HAFYERA,PALIPERIDONE PALMITATE,N,N,N,Y,N
INVEGA SUSTENNA,PALIPERIDONE PALMITATE,N,N,N,Y,N
INVEGA TRINZA,PALIPERIDONE PALMITATE,N,N,N,Y,N
KADIAN,MORPHINE SULFATE,Y,Y,N,N,N
KEFLEX,CEPHALEXIN,N,N,Y,N,N
KETEK,TELITHROMYCIN,N,N,Y,N,N
KIMYRSA,ORITAVANCIN DIPHOSPHATE,N,N,Y,N,N
LATUDA,LURASIDONE HCL,N,N,N,Y,N
LAZANDA,FENTANYL CITRATE,Y,N,N,N,Y
LEVAQUIN,LEVOFLOXACIN,N,N,Y,N,N
LEVAQUIN,LEVOFLOXACIN IN DEXTROSE 5 %,N,N,Y,N,N
LEVAQUIN,LEVOFLOXACIN/D5W,N,N,Y,N,N
LEVOFLOXACIN,LEVOFLOXACIN,N,N,Y,N,N
LEVOFLOXACIN-D5W,LEVOFLOXACIN IN DEXTROSE 5 %,N,N,Y,N,N
LEVOFLOXACIN-D5W,LEVOFLOXACIN/D5W,N,N,Y,N,N
LEVORPHANOL TARTRATE,LEVORPHANOL TARTRATE,Y,Y,N,N,Y
